#{"t_start": 1770463446.4266129, "env_id": "None"}
r,l,t
-357.9,128,99.00457
-156.0,128,99.243617
-554.0,128,99.492256
-344.4,128,99.729493
-642.2,128,99.975291
-302.6,128,100.228854
-753.6,128,100.479652
-416.6,128,100.736543
-286.4,128,100.986741
-711.1,128,101.224492
-703.0,128,101.472405
-1097.7,128,101.719244
-1108.7,128,101.966117
-831.5,128,102.211998
-1039.0,128,102.46119
-709.3,128,102.709147
-667.5,128,102.963752
-526.8,128,103.216009
-261.1,128,103.457733
-444.5,128,103.711497
-684.6,128,103.959343
-978.5,128,104.221301
-1235.6,128,104.468672
-743.2,128,104.725815
-725.6,128,104.974965
-74.7,128,105.216208
-280.1,128,105.447476
-308.0,128,105.701875
-131.0,128,105.945035
-265.8,128,106.195927
-1060.5,128,106.450295
-374.5,128,106.710798
-600.5,128,106.962612
-561.5,128,107.220529
-328.9,128,107.473355
-479.6,128,107.740212
-341.0,128,108.001386
-524.7,128,108.270511
-971.5,128,108.532909
-698.0,128,108.803359
-424.8,128,109.058573
-2592.5,128,109.298772
-307.4,128,109.545047
-631.4,128,109.799198
-1797.2,128,110.062161
-109.9,128,110.305874
-853.7,128,110.569255
-682.8,128,110.834495
-640.3,128,111.083248
-340.1,128,111.335671
-412.2,128,111.591035
-345.0,128,111.84838
-445.6,128,112.097694
-374.8,128,112.351511
-619.0,128,112.611855
-473.2,128,112.873388
-582.5,128,113.115296
-358.9,128,113.364594
-739.3,128,113.625099
-772.5,128,113.882623
-441.3,128,114.1315
-660.7,128,114.379191
-755.6,128,114.631912
-431.7,128,114.883193
-604.2,128,115.132714
-471.9,128,115.389071
-587.3,128,115.642194
-918.7,128,115.917112
-657.2,128,116.163463
-518.9,128,116.417892
-934.4,128,116.68931
-296.2,128,116.955582
-353.0,128,117.191532
-395.2,128,117.428695
-886.7,128,117.67184
-648.6,128,117.91163
-594.7,128,118.152745
-664.8,128,118.40249
-181.5,128,118.653956
-634.8,128,118.908434
-570.5,128,119.166832
-617.3,128,119.42498
-563.8,128,119.677043
-250.2,128,119.938025
-1068.1,128,120.198013
-566.1,128,120.459121
-793.7,128,120.729069
-1521.5,128,120.994981
